2016-11-17 13:05:13 - __main__ - INFO: Processing UniProt entry 205: P30466
2016-11-17 13:05:14 - __main__ - INFO: Processing UniProt entry 206: P30685
2016-11-17 13:05:15 - __main__ - INFO: Processing UniProt entry 207: Q95365
2016-11-17 13:05:21 - __main__ - INFO: Processing UniProt entry 208: Q04826
2016-11-17 13:05:27 - __main__ - INFO: Processing UniProt entry 209: P30495
2016-11-17 13:05:28 - __main__ - INFO: Processing UniProt entry 210: P18465
2016-11-17 13:05:29 - __main__ - INFO: Processing UniProt entry 211: Q29718
2016-11-17 13:05:30 - __main__ - INFO: Processing UniProt entry 212: P30499
2016-11-17 13:05:31 - __main__ - INFO: Processing UniProt entry 213: P04222
2016-11-17 13:05:32 - __main__ - INFO: Processing UniProt entry 214: P30504
2016-11-17 13:05:33 - __main__ - INFO: Processing UniProt entry 215: P30510
2016-11-17 13:05:39 - __main__ - INFO: Processing UniProt entry 216: Q29960
2016-11-17 13:05:40 - __main__ - INFO: Processing UniProt entry 217: Q95604
2016-11-17 13:05:45 - __main__ - INFO: Processing UniProt entry 218: Q13362
2016-11-17 13:05:47 - __main__ - INFO: Processing UniProt entry 219: Q30167
2016-11-17 13:05:48 - __main__ - INFO: Processing UniProt entry 220: Q29974
2016-11-17 13:05:53 - __main__ - INFO: Processing UniProt entry 221: P14060
2016-11-17 13:05:55 - __main__ - INFO: Processing UniProt entry 222: P08697
2016-11-17 13:06:09 - __main__ - INFO: Processing UniProt entry 223: Q12979
2016-11-17 13:06:15 - __main__ - INFO: Processing UniProt entry 224: Q8N961
2016-11-17 13:06:16 - __main__ - INFO: Processing UniProt entry 225: Q5T8D3
2016-11-17 13:06:22 - __main__ - INFO: Processing UniProt entry 226: Q709F0
2016-11-17 13:06:23 - __main__ - INFO: Processing UniProt entry 227: Q9GZZ6
2016-11-17 13:06:24 - __main__ - INFO: Processing UniProt entry 228: P07510
2016-11-17 13:06:25 - __main__ - INFO: Processing UniProt entry 229: Q9NPB9
2016-11-17 13:06:31 - __main__ - INFO: Processing UniProt entry 230: Q9Y615
2016-11-17 13:06:37 - __main__ - INFO: Processing UniProt entry 231: P49753
2016-11-17 13:06:43 - __main__ - INFO: Processing UniProt entry 232: Q8N9L9
2016-11-17 13:06:44 - __main__ - INFO: Processing UniProt entry 233: Q9Y305
2016-11-17 13:06:45 - __main__ - INFO: Processing UniProt entry 234: P60709
2016-11-17 13:06:51 - __main__ - INFO: Processing UniProt entry 235: Q9H568
2016-11-17 13:06:57 - __main__ - INFO: Processing UniProt entry 236: P12814
2016-11-17 13:06:58 - __main__ - INFO: Processing UniProt entry 237: P35609
2016-11-17 13:07:04 - __main__ - INFO: Processing UniProt entry 238: Q86TW2
2016-11-17 13:07:10 - __main__ - INFO: Processing UniProt entry 239: Q3MIX3
2016-11-17 13:07:11 - __main__ - INFO: Processing UniProt entry 240: Q9UEY8
2016-11-17 13:07:17 - __main__ - INFO: Processing UniProt entry 241: P28335
2016-11-17 13:07:23 - __main__ - INFO: Processing UniProt entry 242: Q9H0P0
2016-11-17 13:07:29 - __main__ - INFO: Processing UniProt entry 243: Q8NF67
2016-11-17 13:07:40 - __main__ - INFO: Processing UniProt entry 244: Q5SQ80
2016-11-17 13:07:46 - __main__ - INFO: Processing UniProt entry 245: Q5VUR7
2016-11-17 13:07:47 - __main__ - INFO: Processing UniProt entry 246: A7E2S9
2016-11-17 13:07:53 - __main__ - INFO: Processing UniProt entry 247: Q6JQN1
2016-11-17 13:07:59 - __main__ - INFO: Processing UniProt entry 248: P12821
2016-11-17 13:08:05 - __main__ - INFO: Processing UniProt entry 249: Q15822
2016-11-17 13:08:11 - __main__ - INFO: Processing UniProt entry 250: P43681
2016-11-17 13:08:18 - __main__ - INFO: Processing UniProt entry 251: Q15825
2016-11-17 13:08:19 - __main__ - INFO: Processing UniProt entry 252: Q9UGM1
2016-11-17 13:08:20 - __main__ - INFO: Processing UniProt entry 253: Q05901
2016-11-17 13:08:22 - __main__ - INFO: Processing UniProt entry 254: Q5JWF8
2016-11-17 13:08:28 - __main__ - INFO: Processing UniProt entry 255: O94805
2016-11-17 13:08:34 - __main__ - INFO: Processing UniProt entry 256: Q4G176
2016-11-17 13:08:40 - __main__ - INFO: Processing UniProt entry 257: Q4L235
2016-11-17 13:08:50 - __main__ - INFO: Processing UniProt entry 258: Q08AH1
2016-11-17 13:08:50 - __main__ - INFO: Processing UniProt entry 259: P0C7M7
2016-11-17 13:08:51 - __main__ - INFO: Processing UniProt entry 260: Q9BYD9
2016-11-17 13:08:57 - __main__ - INFO: Processing UniProt entry 261: P35368
2016-11-17 13:09:04 - __main__ - INFO: Processing UniProt entry 262: Q9UKJ8
2016-11-17 13:09:10 - __main__ - INFO: Processing UniProt entry 263: Q9UKQ2
2016-11-17 13:09:11 - __main__ - INFO: Processing UniProt entry 264: Q8TC27
2016-11-17 13:09:12 - __main__ - INFO: Processing UniProt entry 265: Q9BZ11
2016-11-17 13:09:13 - __main__ - INFO: Processing UniProt entry 266: Q96M93
2016-11-17 13:09:14 - __main__ - INFO: Processing UniProt entry 267: Q99965
2016-11-17 13:09:15 - __main__ - INFO: Processing UniProt entry 268: Q13443
2016-11-17 13:09:16 - __main__ - INFO: Processing UniProt entry 269: Q5VUY2
2016-11-17 13:09:22 - __main__ - INFO: Processing UniProt entry 270: O43306
2016-11-17 13:09:28 - __main__ - INFO: Processing UniProt entry 271: P51828
2016-11-17 13:09:34 - __main__ - INFO: Processing UniProt entry 272: P08319
2016-11-17 13:09:35 - __main__ - INFO: Processing UniProt entry 273: Q0VDE8
2016-11-17 13:09:35 - __main__ - INFO: Processing UniProt entry 274: P55263
2016-11-17 13:09:41 - __main__ - INFO: Processing UniProt entry 275: P13945
2016-11-17 13:09:47 - __main__ - INFO: Processing UniProt entry 276: P12235
2016-11-17 13:09:53 - __main__ - INFO: Processing UniProt entry 277: Q6ZN18
2016-11-17 13:10:12 - __main__ - INFO: Processing UniProt entry 278: Q13015
2016-11-17 13:10:13 - __main__ - INFO: Processing UniProt entry 279: Q9Y4W6
2016-11-17 13:10:14 - __main__ - INFO: Processing UniProt entry 280: C9J202
2016-11-17 13:10:15 - __main__ - INFO: Processing UniProt entry 281: Q9H0P7
2016-11-17 13:10:16 - __main__ - INFO: Processing UniProt entry 282: P30153
2016-11-17 13:10:22 - __main__ - INFO: Processing UniProt entry 283: P13761
2016-11-17 13:10:23 - __main__ - INFO: Processing UniProt entry 284: Q9GIY3
2016-11-17 13:10:24 - __main__ - INFO: Processing UniProt entry 285: Q9Y3L3
2016-11-17 13:10:30 - __main__ - INFO: Processing UniProt entry 286: P78314
2016-11-17 13:10:31 - __main__ - INFO: Processing UniProt entry 287: P08908
2016-11-17 13:10:37 - __main__ - INFO: Processing UniProt entry 288: P30939
2016-11-17 13:10:38 - __main__ - INFO: Processing UniProt entry 289: Q8WXA8
2016-11-17 13:10:44 - __main__ - INFO: Processing UniProt entry 290: Q13639
2016-11-17 13:10:45 - __main__ - INFO: Processing UniProt entry 291: Q9BXI3
2016-11-17 13:10:46 - __main__ - INFO: Processing UniProt entry 292: Q969T7
2016-11-17 13:10:52 - __main__ - INFO: Processing UniProt entry 293: Q15758
2016-11-17 13:10:53 - __main__ - INFO: Processing UniProt entry 294: Q86V21
2016-11-17 13:10:59 - __main__ - INFO: Processing UniProt entry 295: Q2M2I8
2016-11-17 13:11:00 - __main__ - INFO: Processing UniProt entry 296: Q9Y478
2016-11-17 13:11:06 - __main__ - INFO: Processing UniProt entry 297: Q9NRW3
2016-11-17 13:11:07 - __main__ - INFO: Processing UniProt entry 298: P33897
2016-11-17 13:11:08 - __main__ - INFO: Processing UniProt entry 299: P61221
2016-11-17 13:11:09 - __main__ - INFO: Processing UniProt entry 300: Q9UG63
2016-11-17 13:11:10 - __main__ - INFO: Processing UniProt entry 301: P45844
2016-11-17 13:11:11 - __main__ - INFO: Processing UniProt entry 302: Q6UXT9
2016-11-17 13:11:17 - __main__ - INFO: Processing UniProt entry 303: Q9BV23
2016-11-17 13:11:22 - __main__ - INFO: Processing UniProt entry 304: Q9BUJ0
2016-11-17 13:11:23 - __main__ - INFO: Processing UniProt entry 305: Q96IU4
2016-11-17 13:11:29 - __main__ - INFO: Processing UniProt entry 306: P61981
2016-11-17 13:11:45 - __main__ - INFO: Processing UniProt entry 307: P63104
2016-11-17 13:11:46 - __main__ - INFO: Processing UniProt entry 308: P30443
2016-11-17 13:11:47 - __main__ - INFO: Processing UniProt entry 309: P01892
2016-11-17 13:11:48 - __main__ - INFO: Processing UniProt entry 310: P13746
2016-11-17 13:11:49 - __main__ - INFO: Processing UniProt entry 311: Q00005
2016-11-17 13:11:55 - __main__ - INFO: Processing UniProt entry 312: P13760
2016-11-17 13:12:12 - __main__ - INFO: Processing UniProt entry 313: P20039
2016-11-17 13:12:18 - __main__ - INFO: Processing UniProt entry 314: P01911
2016-11-17 13:12:24 - __main__ - INFO: Processing UniProt entry 315: P46952
2016-11-17 13:12:30 - __main__ - INFO: Processing UniProt entry 316: Q13542
2016-11-17 13:12:31 - __main__ - INFO: Processing UniProt entry 317: Q9NRA8
2016-11-17 13:12:37 - __main__ - INFO: Processing UniProt entry 318: P08195
2016-11-17 13:12:43 - __main__ - INFO: Processing UniProt entry 319: P05408
2016-11-17 13:12:50 - __main__ - INFO: Processing UniProt entry 320: Q8NAA4
2016-11-17 13:12:55 - __main__ - INFO: Processing UniProt entry 321: P04217
2016-11-17 13:12:56 - __main__ - INFO: Processing UniProt entry 322: Q9NQ94
2016-11-17 13:12:57 - __main__ - INFO: Processing UniProt entry 323: A0PJZ0
2016-11-17 13:13:03 - __main__ - INFO: Processing UniProt entry 324: U3KPV4
2016-11-17 13:13:04 - __main__ - INFO: Processing UniProt entry 325: Q9NPC4
2016-11-17 13:13:05 - __main__ - INFO: Processing UniProt entry 326: Q96GX2
2016-11-17 13:13:11 - __main__ - INFO: Processing UniProt entry 327: Q9NS82
2016-11-17 13:13:17 - __main__ - INFO: Processing UniProt entry 328: Q13685
2016-11-17 13:13:23 - __main__ - INFO: Processing UniProt entry 329: Q6PCB6
2016-11-17 13:13:29 - __main__ - INFO: Processing UniProt entry 330: Q8N2K0
2016-11-17 13:13:35 - __main__ - INFO: Processing UniProt entry 331: P41238
2016-11-17 13:13:40 - __main__ - INFO: Processing UniProt entry 332: Q9NUJ1
2016-11-17 13:13:41 - __main__ - INFO: Processing UniProt entry 333: Q9H3Z7
2016-11-17 13:13:42 - __main__ - INFO: Processing UniProt entry 334: Q8IZP0
2016-11-17 13:13:43 - __main__ - INFO: Processing UniProt entry 335: P42684
2016-11-17 13:13:45 - __main__ - INFO: Processing UniProt entry 336: O94929
2016-11-17 13:13:45 - __main__ - INFO: Processing UniProt entry 337: Q9UKU7
2016-11-17 13:13:51 - __main__ - INFO: Processing UniProt entry 338: P49748
2016-11-17 13:13:52 - __main__ - INFO: Processing UniProt entry 339: Q5FVE4
